UniqueGameId,PlayerNumber,BoardLocation,Spin,Player1Loc,Player2Loc,Player3Loc,Player4Loc,Player5Loc,Player6Loc,SelectedMove,PlayerWonGame
a48e8f80-4c7d-4aec-9bf2-1c6da680d581,3,45,5,36,31,11,34,46,33,11,0
ca09ca18-8c76-4f42-8188-7245f060555d,5,45,5,87,86,6,34,11,11,11,0
ee64b6be-f508-4598-9c34-18e0d45e5869,5,45,5,87,86,6,34,11,11,11,0
8fa31588-6369-4f5a-9372-6cc8341c546d,4,45,5,31,38,33,11,18,28,11,0
1c89be30-294e-4d40-bcec-fe4bb26d63ea,4,45,5,31,38,33,11,18,28,11,0
145276a2-dd09-4a17-adbd-50a87d88a153,5,45,5,27,85,44,36,11,33,11,0
6c95a7cb-f95f-4b1a-9a5f-2623689d510b,4,45,5,61,55,48,50,59,59,50,0
6693a0ca-29e3-415e-ab6d-229c3a3f5402,4,45,5,61,55,48,50,59,59,50,1
c6a970b0-1b24-402a-abe0-22b4831f2e52,3,45,5,50,56,50,42,41,51,50,0
9715724e-19ef-4f77-9a21-e12eab6806e9,1,45,5,11,32,8,35,14,44,11,0
9715724e-19ef-4f77-9a21-e12eab6806e9,2,45,5,8,11,34,46,11,13,11,0
9715724e-19ef-4f77-9a21-e12eab6806e9,5,45,5,90,30,93,68,11,46,11,0
9080ba81-8519-4f2a-a33f-803f38ee6a0d,6,45,5,42,46,51,52,59,50,50,0
9f081790-ba37-4851-a7fa-02330941e1d2,4,45,5,35,85,44,28,29,26,28,1
6ae98306-cb1e-41aa-9db3-25c3600bf0d1,6,45,5,84,35,48,72,71,11,11,0
8f8f048c-d81b-4403-9c06-24dd004ec3c0,1,45,5,11,34,14,35,34,49,11,0
24082eda-f0f1-4480-913b-50899396242f,3,45,5,41,55,50,46,40,48,50,1
562b06c9-e109-4660-8dda-2dc891b208dd,4,45,5,86,85,28,28,87,28,28,0
e7b7abf4-5d38-4f49-b9e3-8f68fa98f6fd,3,45,5,41,52,50,45,44,48,50,0
247213aa-1c2b-4998-bbe5-822bd00bd48e,3,45,5,41,52,50,45,44,48,50,0
1ec8bdcb-9003-4eaa-b91e-d09c65a9ff4d,2,45,5,12,50,47,58,39,49,50,0
80b3e48f-a488-49f1-b135-1b19915bd037,2,45,5,12,50,47,58,39,49,50,0
92ded348-4009-4309-887e-b959f1f060a8,4,45,5,27,21,86,28,42,26,28,1
27384f7a-73a2-4e6b-a673-f5ef910fbee5,4,45,5,27,33,45,11,8,11,11,0
0742f59e-0efe-4a32-8fca-8cb391955e08,5,45,5,42,47,53,52,50,36,50,0
0742f59e-0efe-4a32-8fca-8cb391955e08,1,45,5,50,67,58,54,53,43,50,1
cde1b48e-443c-4c43-bfd4-badd0dcdcf74,2,45,5,20,11,37,50,96,33,11,0
72e04f36-4fd7-4d1c-bf2c-3018db4dbf3c,2,45,5,20,11,37,50,96,33,11,0
9fd46a9b-650a-4788-9d30-1ba5641598ba,1,45,5,28,28,25,84,28,46,28,0
2a0dab26-0930-4e6d-abfe-e805a435a5f3,5,45,5,50,34,85,40,11,48,11,0
899f152e-3734-4939-9395-725f21b4da7a,5,45,5,50,34,85,40,11,48,11,0
6395dab2-0009-4ebd-a97e-7b21cee28f6f,5,45,5,31,51,39,46,50,45,50,0
fd703dbd-ffd8-4b8b-9fe1-c22a1cdea6ab,5,45,5,31,51,39,46,50,45,50,0
398c71ba-01f7-49e5-92e7-f27d0c10ad6f,2,45,5,23,50,28,22,28,26,50,1
b95c809e-2580-4325-8ea2-d6af2a52c3d4,1,45,5,11,13,23,41,17,98,11,0
cb9327d1-69e8-4c49-87c6-507fe3b97638,1,45,5,11,13,23,41,17,98,11,0
d226550e-598f-408f-be09-4f07ad16583c,1,45,5,11,13,23,41,17,98,11,0
5f21c133-f4e2-4f7f-9461-daf63b5716db,5,45,5,40,35,40,42,50,44,50,0
8c6e3573-cf4c-4034-967e-7bee901e8963,5,45,5,40,35,40,42,50,44,50,0
ee3399dd-dbe3-4622-8496-9a8c4519c6ce,6,45,5,54,46,56,57,41,50,50,0
862d3926-556f-4ae8-a52a-32acec575c4c,6,45,5,54,46,56,57,41,50,50,0
d847e452-7658-4efd-9ddf-2738f3a82ac9,6,45,5,46,44,26,46,46,28,28,0
d005917f-3cd5-4550-8826-b5f731c7d76c,6,45,5,15,32,77,76,45,11,11,0
e5c30db7-7a43-4a71-a615-2d2b112fef12,6,45,5,15,32,77,76,45,11,11,0
470da922-fac7-41ec-85ad-e2686cb8b66d,6,45,5,84,44,46,28,47,28,28,0
a76ddaf7-37f9-4e27-89ca-53a054aaf9d3,4,45,5,46,69,60,50,63,67,50,0
03e44e3c-b1da-4a80-9a8c-898818aa6924,1,45,5,50,83,46,41,48,42,50,0
7d1ac029-469e-4edd-ba8f-b7acedc4ed32,2,45,5,57,50,49,56,44,60,50,0
9f021b80-fd9d-406d-a432-e843dac3cf1e,4,45,5,21,69,35,11,48,42,11,0
c0a3b08b-5c15-4ece-a27b-ead0d2089c35,4,45,5,21,69,35,11,48,42,11,0
